,resolution,R-free,R-work,R-gap
BAZ2BA-x425,1.716,0.2045,0.1813,0.0232
BAZ2BA-x427,1.695,0.1985,0.1763,0.0222
BAZ2BA-x428,1.778,0.201,0.1728,0.0282
BAZ2BA-x430,1.786,0.1994,0.172,0.0274
BAZ2BA-x431,1.772,0.1973,0.1719,0.0254
BAZ2BA-x432,1.837,0.1998,0.1731,0.0267
BAZ2BA-x433,1.67,0.2007,0.1751,0.0256
BAZ2BA-x434,1.655,0.1984,0.1762,0.0222
BAZ2BA-x435,1.858,0.2022,0.1747,0.0275
BAZ2BA-x436,1.946,0.2012,0.1686,0.0326
BAZ2BA-x437,1.878,0.2086,0.1745,0.0341
BAZ2BA-x438,1.934,0.2158,0.1774,0.0384
BAZ2BA-x439,1.805,0.1936,0.1705,0.0231
BAZ2BA-x440,1.771,0.1982,0.171,0.0272
BAZ2BA-x442,1.789,0.2006,0.1721,0.0285
BAZ2BA-x443,1.884,0.2021,0.1717,0.0304
BAZ2BA-x446,1.744,0.2172,0.1901,0.0271
BAZ2BA-x447,1.838,0.1978,0.1745,0.0233
BAZ2BA-x448,1.651,0.202,0.1817,0.0203
BAZ2BA-x449,1.754,0.1963,0.174,0.0223
BAZ2BA-x451,1.699,0.2102,0.185,0.0252
BAZ2BA-x452,1.794,0.2084,0.1783,0.0301
BAZ2BA-x453,1.715,0.199,0.1759,0.0231
BAZ2BA-x454,1.794,0.196,0.1721,0.0239
BAZ2BA-x455,1.801,0.2053,0.1767,0.0286
BAZ2BA-x456,1.86,0.199,0.1696,0.0294
BAZ2BA-x457,1.85,0.2105,0.1733,0.0372
BAZ2BA-x458,1.74,0.2095,0.1815,0.028
BAZ2BA-x459,1.724,0.2001,0.1768,0.0233
BAZ2BA-x462,1.847,0.2019,0.1711,0.0308
BAZ2BA-x463,1.764,0.2194,0.1834,0.036
BAZ2BA-x464,1.841,0.2298,0.1963,0.0335
BAZ2BA-x465,1.804,0.2001,0.1724,0.0277
BAZ2BA-x467,1.835,0.2001,0.169,0.0311
BAZ2BA-x468,1.756,0.238,0.207,0.031
BAZ2BA-x469,2.165,0.2243,0.1753,0.049
BAZ2BA-x470,2.025,0.2409,0.1994,0.0415
BAZ2BA-x471,1.982,0.2249,0.1874,0.0375
BAZ2BA-x472,1.752,0.2045,0.178,0.0265
BAZ2BA-x473,1.885,0.2047,0.1704,0.0343
BAZ2BA-x474,1.975,0.2156,0.1769,0.0387
BAZ2BA-x475,1.749,0.1955,0.1714,0.0241
BAZ2BA-x476,2.189,0.2634,0.2015,0.0619
BAZ2BA-x477,1.692,0.1978,0.1746,0.0232
BAZ2BA-x478,1.836,0.2112,0.176,0.0352
BAZ2BA-x479,1.775,0.1994,0.1709,0.0285
BAZ2BA-x480,1.687,0.2013,0.1763,0.025
BAZ2BA-x481,1.649,0.2113,0.1834,0.0279
BAZ2BA-x482,2.294,0.2307,0.1837,0.047
BAZ2BA-x483,1.899,0.2022,0.1679,0.0343
BAZ2BA-x484,1.831,0.2087,0.1778,0.0309
BAZ2BA-x485,1.777,0.2085,0.1767,0.0318
BAZ2BA-x486,1.752,0.2002,0.173,0.0272
BAZ2BA-x487,1.645,0.2045,0.1795,0.025
BAZ2BA-x488,1.697,0.2024,0.1743,0.0281
BAZ2BA-x489,1.787,0.2086,0.1781,0.0305
BAZ2BA-x490,1.842,0.2024,0.1685,0.0339
BAZ2BA-x491,1.841,0.2194,0.1832,0.0362
BAZ2BA-x492,1.782,0.2027,0.1783,0.0244
BAZ2BA-x494,1.792,0.2045,0.1733,0.0312
BAZ2BA-x495,1.792,0.2062,0.1717,0.0345
BAZ2BA-x496,1.69,0.205,0.1783,0.0267
BAZ2BA-x497,1.799,0.2,0.1696,0.0304
BAZ2BA-x498,1.892,0.2052,0.1723,0.0329
BAZ2BA-x499,2.009,0.23,0.1836,0.0464
BAZ2BA-x500,1.691,0.2047,0.1773,0.0274
BAZ2BA-x501,1.706,0.1977,0.1745,0.0232
BAZ2BA-x502,1.864,0.2163,0.182,0.0343
BAZ2BA-x503,1.768,0.2043,0.1756,0.0287
BAZ2BA-x504,1.804,0.204,0.1729,0.0311
BAZ2BA-x505,1.736,0.2007,0.1768,0.0239
BAZ2BA-x506,1.767,0.1991,0.1765,0.0226
BAZ2BA-x507,1.877,0.2016,0.1727,0.0289
BAZ2BA-x508,1.676,0.1997,0.1776,0.0221
BAZ2BA-x509,1.925,0.2139,0.1827,0.0312
BAZ2BA-x510,1.628,0.2069,0.181,0.0259
BAZ2BA-x511,1.776,0.1975,0.1753,0.0222
BAZ2BA-x512,1.697,0.2011,0.1762,0.0249
BAZ2BA-x513,1.107,0.5207,0.4685,0.0522
BAZ2BA-x514,1.838,0.2026,0.17,0.0326
BAZ2BA-x515,1.739,0.2013,0.1745,0.0268
BAZ2BA-x516,1.8,0.1972,0.1708,0.0264
BAZ2BA-x518,1.707,0.1991,0.1757,0.0234
BAZ2BA-x519,1.711,0.2,0.1745,0.0255
BAZ2BA-x520,1.781,0.2031,0.172,0.0311
BAZ2BA-x521,1.703,0.2014,0.1767,0.0247
BAZ2BA-x523,2.262,0.2127,0.164,0.0487
BAZ2BA-x525,1.697,0.2022,0.1776,0.0246
BAZ2BA-x526,1.785,0.1994,0.1746,0.0248
BAZ2BA-x527,1.785,0.1993,0.1751,0.0242
BAZ2BA-x528,1.704,0.2026,0.1744,0.0282
BAZ2BA-x529,1.783,0.2014,0.1729,0.0285
BAZ2BA-x530,1.69,0.1992,0.1756,0.0236
BAZ2BA-x531,1.878,0.2061,0.1732,0.0329
BAZ2BA-x532,1.686,0.2043,0.1794,0.0249
BAZ2BA-x533,1.926,0.2129,0.1748,0.0381
BAZ2BA-x534,1.9,0.2133,0.1707,0.0426
BAZ2BA-x535,1.762,0.1992,0.1749,0.0243
BAZ2BA-x536,1.907,0.2016,0.1722,0.0294
BAZ2BA-x537,1.708,0.2077,0.181,0.0267
BAZ2BA-x538,1.771,0.2009,0.1733,0.0276
BAZ2BA-x539,1.755,0.2012,0.1732,0.028
BAZ2BA-x540,1.74,0.2,0.1742,0.0258
BAZ2BA-x541,1.651,0.2018,0.1788,0.023
BAZ2BA-x542,1.665,0.2047,0.1798,0.0249
BAZ2BA-x543,1.811,0.2132,0.1735,0.0397
BAZ2BA-x544,1.649,0.2057,0.183,0.0227
BAZ2BA-x545,1.717,0.1988,0.1757,0.0231
BAZ2BA-x546,1.646,0.2028,0.1815,0.0213
BAZ2BA-x547,2.107,0.2025,0.1721,0.0304
BAZ2BA-x548,1.846,0.2107,0.1792,0.0315
BAZ2BA-x549,1.804,0.2011,0.1712,0.0299
BAZ2BA-x550,1.747,0.2025,0.1751,0.0274
